"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify complete checkout flow with dynamic user data","818","testCompleteCheckout","E-Commerce Test Suite","Thu Feb 19 10:33:55 UTC 2026","passed","Thu Feb 19 10:33:55 UTC 2026","com.seleniumui.framework.tests.CheckoutTest","All Tests","com.seleniumui.framework.tests.CheckoutTest","testCompleteCheckout"
"Verify products can be sorted by price high to low","139","testSortByPriceHighToLow","E-Commerce Test Suite","Thu Feb 19 10:33:53 UTC 2026","passed","Thu Feb 19 10:33:53 UTC 2026","com.seleniumui.framework.tests.ProductTest","All Tests","com.seleniumui.framework.tests.ProductTest","testSortByPriceHighToLow"
"Verify valid login with multiple user types","430","testValidLoginWithMultipleUsers","E-Commerce Test Suite","Thu Feb 19 10:33:37 UTC 2026","passed","Thu Feb 19 10:33:37 UTC 2026","com.seleniumui.framework.tests.LoginTest","All Tests","com.seleniumui.framework.tests.LoginTest","testValidLoginWithMultipleUsers"
"Verify accessing inventory page without login redirects to login page with error","189","testAccessInventoryWithoutLogin","E-Commerce Test Suite","Thu Feb 19 10:33:56 UTC 2026","passed","Thu Feb 19 10:33:56 UTC 2026","com.seleniumui.framework.tests.SessionTest","All Tests","com.seleniumui.framework.tests.SessionTest","testAccessInventoryWithoutLogin"
"Verify valid login with multiple user types","424","testValidLoginWithMultipleUsers","E-Commerce Test Suite","Thu Feb 19 10:33:38 UTC 2026","passed","Thu Feb 19 10:33:38 UTC 2026","com.seleniumui.framework.tests.LoginTest","All Tests","com.seleniumui.framework.tests.LoginTest","testValidLoginWithMultipleUsers"
"Verify login page loads correctly","55","testLoginPageLoads","E-Commerce Test Suite","Thu Feb 19 10:33:38 UTC 2026","passed","Thu Feb 19 10:33:39 UTC 2026","com.seleniumui.framework.tests.LoginTest","All Tests","com.seleniumui.framework.tests.LoginTest","testLoginPageLoads"
"Verify accessing cart page without login shows error","197","testAccessCartWithoutLogin","E-Commerce Test Suite","Thu Feb 19 10:33:57 UTC 2026","passed","Thu Feb 19 10:33:57 UTC 2026","com.seleniumui.framework.tests.SessionTest","All Tests","com.seleniumui.framework.tests.SessionTest","testAccessCartWithoutLogin"
"Verify that a valid user can successfully login to the application","831","testValidLogin","E-Commerce Test Suite","Thu Feb 19 10:33:35 UTC 2026","passed","Thu Feb 19 10:33:36 UTC 2026","com.seleniumui.framework.tests.LoginTest","All Tests","com.seleniumui.framework.tests.LoginTest","testValidLogin"
"Verify products can be sorted by price low to high","139","testSortByPriceLowToHigh","E-Commerce Test Suite","Thu Feb 19 10:33:52 UTC 2026","passed","Thu Feb 19 10:33:52 UTC 2026","com.seleniumui.framework.tests.ProductTest","All Tests","com.seleniumui.framework.tests.ProductTest","testSortByPriceLowToHigh"
"Verify product can be removed from cart","10205","testRemoveProductFromCart","E-Commerce Test Suite","Thu Feb 19 10:33:41 UTC 2026","passed","Thu Feb 19 10:33:51 UTC 2026","com.seleniumui.framework.tests.ProductTest","All Tests","com.seleniumui.framework.tests.ProductTest","testRemoveProductFromCart"
"Verify product can be added to cart","249","testAddProductToCart","E-Commerce Test Suite","Thu Feb 19 10:33:39 UTC 2026","passed","Thu Feb 19 10:33:40 UTC 2026","com.seleniumui.framework.tests.ProductTest","All Tests","com.seleniumui.framework.tests.ProductTest","testAddProductToCart"
"Verify valid session persists across page refreshes","526","testSessionPersistsOnRefresh","E-Commerce Test Suite","Thu Feb 19 10:33:57 UTC 2026","passed","Thu Feb 19 10:33:58 UTC 2026","com.seleniumui.framework.tests.SessionTest","All Tests","com.seleniumui.framework.tests.SessionTest","testSessionPersistsOnRefresh"
"Verify all products are displayed on inventory page","12","testAllProductsDisplayed","E-Commerce Test Suite","Thu Feb 19 10:33:54 UTC 2026","passed","Thu Feb 19 10:33:54 UTC 2026","com.seleniumui.framework.tests.ProductTest","All Tests","com.seleniumui.framework.tests.ProductTest","testAllProductsDisplayed"
